date,regime,volatility,drawdown,trend_signal,risk_multiplier,benchmark,detection_method
2015-12-21,0,,0.0,0,0.5,A,rules
2015-12-22,0,,0.0,0,0.5,A,rules
2015-12-23,0,,0.0,0,0.5,A,rules
2015-12-24,0,,0.0,0,0.5,A,rules
2015-12-28,0,,-0.008542952064546736,0,0.5,A,rules
2015-12-29,0,,0.0,0,0.5,A,rules
2015-12-30,0,,-0.004485363550519305,0,0.5,A,rules
2015-12-31,0,,-0.01298394711992439,0,0.5,A,rules
2016-01-04,0,,-0.03942398489140703,0,0.5,A,rules
2016-01-05,0,,-0.042728989612842355,0,0.5,A,rules
2016-01-06,0,,-0.038479697828139814,0,0.5,A,rules
2016-01-07,0,,-0.07932011331444758,0,0.5,A,rules
2016-01-08,0,,-0.08899905571293663,0,0.5,A,rules
2016-01-11,0,,-0.10434372049102932,0,0.5,A,rules
2016-01-12,0,,-0.09844192634560911,0,0.5,A,rules
2016-01-13,0,,-0.12983947119924458,0,0.5,A,rules
2016-01-14,0,,-0.11213408876298395,0,0.5,A,rules
2016-01-15,0,,-0.12393767705382436,0,0.5,A,rules
2016-01-19,0,,-0.121813031161473,0,0.5,A,rules
2016-01-20,0,,-0.12039660056657227,0,0.5,A,rules
2016-01-21,0,0.2603236657024707,-0.12110481586402272,0,0.5,A,rules
2016-01-22,0,0.2704142988905184,-0.1033994334277621,0,0.5,A,rules
2016-01-25,0,0.2631575411523164,-0.11213408876298395,0,0.5,A,rules
2016-01-26,0,0.2581841433169055,-0.11449480642115206,0,0.5,A,rules
2016-01-27,0,0.25906841534290465,-0.12535410764872526,0,0.5,A,rules
2016-01-28,0,0.25685152451321763,-0.1475448536355052,0,0.5,A,rules
2016-01-29,0,0.3132699673400881,-0.11118980169971673,0,0.5,A,rules
2016-02-01,0,0.31387508123574864,-0.11024551463644952,0,0.5,A,rules
2016-02-02,0,0.30640816485216227,-0.12488196411709157,0,0.5,A,rules
2016-02-03,0,0.30762036799546405,-0.12204910292728993,0,0.5,A,rules
2016-02-04,0,0.3083273448850188,-0.11661945231350325,0,0.5,A,rules
2016-02-05,0,0.2995935316366852,-0.14919735599622286,0,0.5,A,rules
2016-02-08,0,0.3181561652688582,-0.17847025495750715,0,0.5,A,rules
2016-02-09,0,0.32351472717432983,-0.16501416430594906,0,0.5,A,rules
2016-02-10,0,0.3272735133828982,-0.15368271954674217,0,0.5,A,rules
2016-02-11,0,0.3084329444250019,-0.16595845136921628,0,0.5,A,rules
2016-02-12,0,0.3135122218693411,-0.14494806421152032,0,0.5,A,rules
2016-02-16,0,0.32276869036419453,-0.12464589235127482,0,0.5,A,rules
2016-02-17,0,0.3313720993060735,-0.10599622285174698,0,0.5,A,rules
2016-02-18,0,0.3381809541816939,-0.12204910292728993,0,0.5,A,rules
2016-02-19,0,0.3389620364508964,-0.11614730878186973,0,0.5,A,rules
2016-02-22,0,0.33593393230563695,-0.10221907459867796,0,0.5,A,rules
2016-02-23,0,0.34403577492451176,-0.12252124645892346,0,0.5,A,rules
2016-02-24,0,0.34527621339219855,-0.11520302171860251,0,0.5,A,rules
